,Исходный текст,Распознанный текст,Предсказанная группа,Уверенность (%),Результат,Русских букв,Латинских букв,Цифр
268,Х-ЛПОНП_5,Х-ЛПОН,лпонп,92.31,🟠 Частичное совпадение,5,0,0
269,Х-ЛПОНП_6,ХЛПОНП,лпонп,92.31,🟠 Частичное совпадение,6,0,0
270,Х-ЛПОНП_7,Х- ЛПОНП,лпонп,93.33,🟠 Частичное совпадение,6,0,0
271,Х ЛПОНП_0,Х Л ПОНП,лпонп,93.33,🟠 Частичное совпадение,6,0,0
272,Х ЛПОНП_1,Х ЛП ОНП,лпонп,93.33,🟠 Частичное совпадение,6,0,0
273,Х ЛПОНП_2,Х ЛПО,лпонп,83.33,🟠 Частичное совпадение,4,0,0
274,Х ЛПОНП_3,ЛПОНП,лпонп,83.33,🟠 Частичное совпадение,5,0,0
275,Х ЛПОНП_4,Х ЛП НП,лпнп,92.31,❌ Неверное совпадение,5,0,0
276,Х ЛПОНП_5,Х Л ПОН,лпонп,85.71,🟠 Частичное совпадение,5,0,0
277,Х ЛПОНП_7,Х ЛПОНп,лпонп,100.00,✔️ Полное совпадение,6,0,0
278,ХС ЛПОНП_0,С ЛПОНП,лпонп,93.33,🟠 Частичное совпадение,6,0,0
279,ХС ЛПОНП_1,ХС лПОНП,лпонп,100.00,✔️ Полное совпадение,7,0,0
280,ХС ЛПОНП_2,ХС лПО,лпонп,85.71,🟠 Частичное совпадение,5,0,0
281,ХС ЛПОНП_3, ЛПОНП,лпонп,83.33,🟠 Частичное совпадение,5,0,0
282,ХС ЛПОНП_4,ХС  ЛПОНП,лпонп,94.12,🟠 Частичное совпадение,7,0,0
283,ХС ЛПОНП_5,ХС ЛП,лпнп,83.33,❌ Неверное совпадение,4,0,0
284,ХС ЛПОНП_6,ЛПОНП ХС,лпонп,100.00,✔️ Полное совпадение,7,0,0
285,Липопротеины очень низкой плотности_1,Липопротеины очень низкой плотност,лпонп,98.55,🟠 Частичное совпадение,31,0,0
286,Липопротеины очень низкой плотности_2,Липопротеины очень низkой плотности,лпонп,100.00,✔️ Полное совпадение,31,1,0
287,Липопротеины очень низкой плотности_3,Липопротеины очень низкой пЛотност,лпонп,98.55,🟠 Частичное совпадение,31,0,0
288,Липопротеины очень низкой плотности_4,Липопротеины очен ь низкой плотности,лпонп,98.59,🟠 Частичное совпадение,32,0,0
289,Липопротеины очень низкой плотности_5,Липопротены очень низкой плотности,лпонп,98.55,🟠 Частичное совпадение,31,0,0
290,Липопротеины очень низкой плотности_6,попротеины очень низкой плотности,лпонп,97.06,🟠 Частичное совпадение,30,0,0
291,Липопротеины очень низкой плотности_7,Липопротеины очень низкй плотности,лпонп,98.55,🟠 Частичное совпадение,31,0,0
292,VLDL_0,VL DL,лпонп,88.89,🟠 Частичное совпадение,0,4,0
293,VLDL_1,VDL,лпонп,85.71,🟠 Частичное совпадение,0,3,0
294,VLDL_3,LDL,лпнп,100.00,❌ Неверное совпадение,0,3,0
295,VLDL_4,VLdL,лпонп,100.00,✔️ Полное совпадение,0,4,0
296,VLDL_5,VLDl,лпонп,100.00,✔️ Полное совпадение,0,4,0
297,VLDL_6,VLD,лпонп,85.71,🟠 Частичное совпадение,0,3,0
298,Very Low-Density Lipoprotein_0,ery Low-Density Lipoprotein,лпонп,98.18,🟠 Частичное совпадение,0,24,0
299,Very Low-Density Lipoprotein_1,Very ow-Density Lipoprotein,лпонп,98.18,🟠 Частичное совпадение,0,24,0
300,Very Low-Density Lipoprotein_2,Very Low-Density LipopRotein,лпонп,100.00,✔️ Полное совпадение,0,25,0
301,Very Low-Density Lipoprotein_3,Very LowDensity Lipoprotein,лпонп,98.18,🟠 Частичное совпадение,0,25,0
302,Very Low-Density Lipoprotein_5,Very Low-Density Lipoprot ein,лпонп,98.25,🟠 Частичное совпадение,0,25,0
303,Very Low-Density Lipoprotein_6,Ve ry Low-Density Lipoprotein,лпонп,98.25,🟠 Частичное совпадение,0,25,0
304,Very Low-Density Lipoprotein_7,Very Low-Densit Lipoprotein,лпонп,98.18,🟠 Частичное совпадение,0,24,0
305,Триглицериды_0,ТриГлиц ериды,триглицериды,96.00,🟠 Частичное совпадение,12,0,0
306,Триглицериды_2,Тригли цериды,триглицериды,96.00,🟠 Частичное совпадение,12,0,0
307,Триглицериды_3,Триглицерид,триглицериды,95.65,🟠 Частичное совпадение,11,0,0
308,Триглицериды_4,риглицериды,триглицериды,95.65,🟠 Частичное совпадение,11,0,0
309,Триглицериды_5,Триглицери,триглицериды,90.91,🟠 Частичное совпадение,10,0,0
310,Триглицериды_6,Тригицериды,триглицериды,95.65,🟠 Частичное совпадение,11,0,0
311,Триглицериды_7,Триглиц ериды,триглицериды,96.00,🟠 Частичное совпадение,12,0,0
312,Trig_0,rig,триглицериды,85.71,🟠 Частичное совпадение,0,3,0
313,Trig_2,trig,триглицериды,100.00,✔️ Полное совпадение,0,4,0
314,Trig_3,T rig,триглицериды,88.89,🟠 Частичное совпадение,0,4,0
315,Trig_4,Tri,триглицериды,85.71,🟠 Частичное совпадение,0,3,0
316,Trig_5,TrIg,триглицериды,100.00,✔️ Полное совпадение,0,4,0
317,ТГ_1,Тг,триглицериды,100.00,✔️ Полное совпадение,2,0,0
318,Triglycerides_0,Triglyceride,триглицериды,96.00,🟠 Частичное совпадение,0,12,0
319,Triglycerides_1,Triglуcerides,триглицериды,100.00,✔️ Полное совпадение,1,12,0
320,Triglycerides_2,Triglycerdes,триглицериды,96.00,🟠 Частичное совпадение,0,12,0
321,Triglycerides_3,Trglycerides,триглицериды,96.00,🟠 Частичное совпадение,0,12,0
322,Triglycerides_4,iglycerides,триглицериды,91.67,🟠 Частичное совпадение,0,11,0
323,Triglycerides_5,Triglyceides,триглицериды,96.00,🟠 Частичное совпадение,0,12,0
324,Triglycerides_6,Triglyce rIdes,триглицериды,96.30,🟠 Частичное совпадение,0,13,0
325,Triglycerides_7,Trig lycerides,триглицериды,96.30,🟠 Частичное совпадение,0,13,0
326,Липиды_1,Липид,триглицериды,90.91,🟠 Частичное совпадение,5,0,0
327,Липиды_2,Липи ды,триглицериды,92.31,🟠 Частичное совпадение,6,0,0
328,Липиды_3,ЛипидЫ,триглицериды,100.00,✔️ Полное совпадение,6,0,0
329,Липиды_4,ипиды,триглицериды,90.91,🟠 Частичное совпадение,5,0,0
330,Липиды_5,Л ипиды,триглицериды,92.31,🟠 Частичное совпадение,6,0,0
331,Фосфолипиды_0,Фофолипиды,фосфолипиды,95.24,🟠 Частичное совпадение,10,0,0
332,Фосфолипиды_1,ФосфолипидЫ,фосфолипиды,100.00,✔️ Полное совпадение,11,0,0
333,Фосфолипиды_3,ФоСфолипиды,фосфолипиды,100.00,✔️ Полное совпадение,11,0,0
334,Фосфолипиды_4,Фо сфолипиды,фосфолипиды,95.65,🟠 Частичное совпадение,11,0,0
335,Фосфолипиды_5,ФосфoЛипиды,фосфолипиды,100.00,✔️ Полное совпадение,10,1,0
336,Фосфолипиды_6,сфолипиды,фосфолипиды,90.00,🟠 Частичное совпадение,9,0,0
337,Фосфолипиды_7,Фосфолипид,фосфолипиды,95.24,🟠 Частичное совпадение,10,0,0
338,Phospholipids_0,Phospholip,фосфолипиды,86.96,🟠 Частичное совпадение,0,10,0
339,Phospholipids_1,P hospholipids,фосфолипиды,96.30,🟠 Частичное совпадение,0,13,0
340,Phospholipids_2,Ph ospholipids,фосфолипиды,96.30,🟠 Частичное совпадение,0,13,0
341,Phospholipids_4,Phospholipid,фосфолипиды,96.00,🟠 Частичное совпадение,0,12,0
342,Phospholipids_5,Pho spholipids,фосфолипиды,96.30,🟠 Частичное совпадение,0,13,0
343,Phospholipids_6,Phospho lipids,фосфолипиды,96.30,🟠 Частичное совпадение,0,13,0
344,Phospholipids_7,Phosрholipids,фосфолипиды,100.00,✔️ Полное совпадение,1,12,0
345,Общий билирубин_0,Обий билирубин,билирубин общий,96.55,🟠 Частичное совпадение,13,0,0
346,Общий билирубин_1,Общий билируин,билирубин общий,96.55,🟠 Частичное совпадение,13,0,0
347,Общий билирубин_2,Общий биЛирубин,билирубин общий,100.00,✔️ Полное совпадение,14,0,0
348,Общий билирубин_4,Общий бИлирубн,билирубин общий,96.55,🟠 Частичное совпадение,13,0,0
349,Общий билирубин_5,О бщий билрубин,билирубин общий,93.33,🟠 Частичное совпадение,13,0,0
350,Общий билирубин_6,Общий билир убин,билирубин общий,96.77,🟠 Частичное совпадение,14,0,0
351,Общий билирубин_7,Общ ий билирубин,билирубин общий,96.77,🟠 Частичное совпадение,14,0,0
352,Total Bilirubin_0,Total Bilirub in,билирубин общий,96.77,🟠 Частичное совпадение,0,14,0
353,Total Bilirubin_2,Tota l Bilirubin,билирубин общий,96.77,🟠 Частичное совпадение,0,14,0
354,Total Bilirubin_3,TotaL Bilirubin,билирубин общий,100.00,✔️ Полное совпадение,0,14,0
355,Total Bilirubin_4,TOtal Bilirubin,билирубин общий,100.00,✔️ Полное совпадение,0,14,0
356,Total Bilirubin_5,Totl Bilirbin,билирубин общий,92.86,🟠 Частичное совпадение,0,12,0
357,Total Bilirubin_6,tal Bilirub,билирубин общий,84.62,🟠 Частичное совпадение,0,10,0
358,Total Bilirubin_7,Total BiliRubin,билирубин общий,100.00,✔️ Полное совпадение,0,14,0
359,TBIL_0,TIL,билирубин общий,85.71,🟠 Частичное совпадение,0,3,0
360,TBIL_1,TBI,билирубин общий,85.71,🟠 Частичное совпадение,0,3,0
361,TBIL_2,TBiL,билирубин общий,100.00,✔️ Полное совпадение,0,4,0
362,TBIL_3,T BIL,билирубин общий,88.89,🟠 Частичное совпадение,0,4,0
363,TBIL_5,BIL,билирубин общий,85.71,🟠 Частичное совпадение,0,3,0
364,Прямой билирубин_0,Прямой билирyбин,билирубин прямой,100.00,✔️ Полное совпадение,14,1,0
365,Прямой билирубин_1,Прямой  билирубин,билирубин прямой,96.97,🟠 Частичное совпадение,15,0,0
366,Прямой билирубин_2,Прямой биируб,билирубин прямой,89.66,🟠 Частичное совпадение,12,0,0
367,Прямой билирубин_3,рямо билирубин,билирубин прямой,93.33,🟠 Частичное совпадение,13,0,0
368,Прямой билирубин_4,Прмой билирубин,билирубин прямой,96.77,🟠 Частичное совпадение,14,0,0
369,Прямой билирубин_5,Прямой билирубн,билирубин прямой,96.77,🟠 Частичное совпадение,14,0,0
370,Прямой билирубин_7,Прямой билиру бИн,билирубин прямой,96.97,🟠 Частичное совпадение,15,0,0
371,Связанный билирубин_0,Свзанный билирубин,билирубин прямой,97.30,🟠 Частичное совпадение,17,0,0
372,Связанный билирубин_1,Связанн ый билирубин,билирубин прямой,97.44,🟠 Частичное совпадение,18,0,0
373,Связанный билирубин_2,СвяЗанный билирубин,билирубин прямой,100.00,✔️ Полное совпадение,18,0,0
374,Связанный билирубин_3,язанный билирубин,билирубин прямой,94.44,🟠 Частичное совпадение,16,0,0
375,Связанный билирубин_5,Связа нный билирубин,билирубин прямой,97.44,🟠 Частичное совпадение,18,0,0
376,Связанный билирубин_6,Связанныйбилрубин,билирубин прямой,94.44,🟠 Частичное совпадение,17,0,0
377,Связанный билирубин_7,вязанный билирубин,билирубин прямой,97.30,🟠 Частичное совпадение,17,0,0
378,Конъюгированный билирубин_0,Конъю гированный билирубин,билирубин прямой,98.04,🟠 Частичное совпадение,24,0,0
379,Конъюгированный билирубин_1,Конъюг ированный билирубин,билирубин прямой,98.04,🟠 Частичное совпадение,24,0,0
380,Конъюгированный билирубин_3,Ко нъюгированный билирубин,билирубин прямой,98.04,🟠 Частичное совпадение,24,0,0
381,Конъюгированный билирубин_4,Конъюгированный бИлирубин,билирубин прямой,100.00,✔️ Полное совпадение,24,0,0
382,Конъюгированный билирубин_5,Конъюгированный билируби,билирубин прямой,97.96,🟠 Частичное совпадение,23,0,0
383,Конъюгированный билирубин_6,нъюгированный билируб ин,билирубин прямой,93.88,🟠 Частичное совпадение,22,0,0
384,Конъюгированный билирубин_7,Конъюгированный билируБин,билирубин прямой,100.00,✔️ Полное совпадение,24,0,0
385,Direct Bilirubin_1,Direct Bilir ubin,билирубин прямой,96.97,🟠 Частичное совпадение,0,15,0
386,Direct Bilirubin_2,Diect Bilirubin,билирубин прямой,96.77,🟠 Частичное совпадение,0,14,0
387,Direct Bilirubin_3,Direct Bilrubin,билирубин прямой,96.77,🟠 Частичное совпадение,0,14,0
388,Direct Bilirubin_4,Direc t Bilirubin,билирубин прямой,96.97,🟠 Частичное совпадение,0,15,0
389,Direct Bilirubin_5,Direct BilirUbin,билирубин прямой,100.00,✔️ Полное совпадение,0,15,0
390,Direct Bilirubin_6,Direct Bi1irubin,билирубин прямой,93.75,🟠 Частичное совпадение,0,14,1
391,Direct Bilirubin_7,Direct Blirubin,билирубин прямой,96.77,🟠 Частичное совпадение,0,14,0
392,DBIL_0,DBL,билирубин прямой,85.71,🟠 Частичное совпадение,0,3,0
393,DBIL_1,DBI,билирубин прямой,85.71,🟠 Частичное совпадение,0,3,0
394,DBIL_2,DB IL,билирубин прямой,88.89,🟠 Частичное совпадение,0,4,0
395,DBIL_3,DbIL,билирубин прямой,100.00,✔️ Полное совпадение,0,4,0
396,DBIL_4,DBiL,билирубин прямой,100.00,✔️ Полное совпадение,0,4,0
397,DBIL_5,BIL,билирубин общий,85.71,❌ Неверное совпадение,0,3,0
398,DBIL_6,DBIl,билирубин прямой,100.00,✔️ Полное совпадение,0,4,0
399,Непрямой билирубин_0,епрямо й билирубин,билирубин непрямой,94.44,🟠 Частичное совпадение,16,0,0
400,Непрямой билирубин_1,Непрямой билируби,билирубин непрямой,97.14,🟠 Частичное совпадение,16,0,0
401,Непрямой билирубин_2,прямой билирубин,билирубин прямой,100.00,❌ Неверное совпадение,15,0,0
402,Непрямой билирубин_4,Непрямой били рубин,билирубин непрямой,97.30,🟠 Частичное совпадение,17,0,0
403,Непрямой билирубин_5,Непрямо й билирубин,билирубин непрямой,97.30,🟠 Частичное совпадение,17,0,0
404,Непрямой билирубин_6,Непрямой билируб,билирубин непрямой,94.12,🟠 Частичное совпадение,15,0,0
405,Непрямой билирубин_7,НепряМой билирубин,билирубин непрямой,100.00,✔️ Полное совпадение,17,0,0
406,Свободный билирубин_0,Свободный  билирубин,билирубин непрямой,97.44,🟠 Частичное совпадение,18,0,0
407,Свободный билирубин_2,Свободный билиpубин,билирубин непрямой,100.00,✔️ Полное совпадение,17,1,0
408,Свободный билирубин_3,Свободный биирубин,билирубин непрямой,97.30,🟠 Частичное совпадение,17,0,0
409,Свободный билирубин_4,вободный билируб,билирубин непрямой,91.43,🟠 Частичное совпадение,15,0,0
410,Свободный билирубин_5,Свoбодный билирубин,билирубин непрямой,100.00,✔️ Полное совпадение,17,1,0
411,Свободный билирубин_6,бодный билирубин,билирубин непрямой,91.43,🟠 Частичное совпадение,15,0,0
412,Свободный билирубин_7,Сободный билирубин,билирубин непрямой,97.30,🟠 Частичное совпадение,17,0,0
413,Неконъюгированный билирубин_0,Не конъюгированный билирубин,билирубин непрямой,98.18,🟠 Частичное совпадение,26,0,0
414,Неконъюгированный билирубин_1,Неконъюгированный билирбин,билирубин непрямой,98.11,🟠 Частичное совпадение,25,0,0
415,Неконъюгированный билирубин_2,Неконъюгированн ый билирубин,билирубин непрямой,98.18,🟠 Частичное совпадение,26,0,0
416,Неконъюгированный билирубин_3,НеКонъюгированный билирубин,билирубин непрямой,100.00,✔️ Полное совпадение,26,0,0
417,Неконъюгированный билирубин_5,Неконъю гированный билирубин,билирубин непрямой,98.18,🟠 Частичное совпадение,26,0,0
418,Неконъюгированный билирубин_6,конъюгированный билирубин,билирубин прямой,100.00,❌ Неверное совпадение,24,0,0
419,Неконъюгированный билирубин_7,неконъюгированный билирубин,билирубин непрямой,100.00,✔️ Полное совпадение,26,0,0
420,Indirect Bilirubin_0,Indiect Bilirubin,билирубин непрямой,97.14,🟠 Частичное совпадение,0,16,0
421,Indirect Bilirubin_1,Indirect Bilirbin,билирубин непрямой,97.14,🟠 Частичное совпадение,0,16,0
422,Indirect Bilirubin_2,ndirect Bilirub,билирубин непрямой,90.91,🟠 Частичное совпадение,0,14,0
423,Indirect Bilirubin_3,In dirEct Bilirubin,билирубин непрямой,97.30,🟠 Частичное совпадение,0,17,0
424,Indirect Bilirubin_4,Indirect Bilirub,билирубин непрямой,94.12,🟠 Частичное совпадение,0,15,0
425,Indirect Bilirubin_5,Indirect Biliru bin,билирубин непрямой,97.30,🟠 Частичное совпадение,0,17,0
426,Indirect Bilirubin_6,IndirectBilirubi,билирубин непрямой,94.12,🟠 Частичное совпадение,0,16,0
427,IBIL_0,IbIL,билирубин непрямой,100.00,✔️ Полное совпадение,0,4,0
428,IBIL_1,I8IL,билирубин непрямой,100.00,✔️ Полное совпадение,0,3,1
429,IBIL_2,IBL,билирубин непрямой,85.71,🟠 Частичное совпадение,0,3,0
430,IBIL_3,IBI,билирубин непрямой,85.71,🟠 Частичное совпадение,0,3,0
431,IBIL_4,I BIL,билирубин непрямой,88.89,🟠 Частичное совпадение,0,4,0
432,IBIL_5,BIL,билирубин общий,85.71,❌ Неверное совпадение,0,3,0
433,IBIL_7,IBiL,билирубин непрямой,100.00,✔️ Полное совпадение,0,4,0
434,Билирубин_0,билирубин,дополнительные билирубины,100.00,✔️ Полное совпадение,9,0,0
435,Билирубин_1,Билиру бин,дополнительные билирубины,94.74,🟠 Частичное совпадение,9,0,0
436,Билирубин_3,Би лируб,дополнительные билирубины,82.35,🟠 Частичное совпадение,7,0,0
437,Билирубин_4,БилИрубин,дополнительные билирубины,100.00,✔️ Полное совпадение,9,0,0
438,Билирубин_5,БиируБин,дополнительные билирубины,94.12,🟠 Частичное совпадение,8,0,0
439,Билирубин_6,Биирубин,дополнительные билирубины,94.12,🟠 Частичное совпадение,8,0,0
440,Билирубин_7,Б илирубин,дополнительные билирубины,94.74,🟠 Частичное совпадение,9,0,0
441,Моноглюкоронид_0,Моноглюкоpонид,дополнительные билирубины,100.00,✔️ Полное совпадение,13,1,0
442,Моноглюкоронид_2,МоноглюКоронид,дополнительные билирубины,100.00,✔️ Полное совпадение,14,0,0
443,Моноглюкоронид_3,оноглюкоронид,дополнительные билирубины,96.30,🟠 Частичное совпадение,13,0,0
444,Моноглюкоронид_4,оноглюкорони,дополнительные билирубины,92.31,🟠 Частичное совпадение,12,0,0
445,Моноглюкоронид_5,МоноглюкорОнид,дополнительные билирубины,100.00,✔️ Полное совпадение,14,0,0
446,Моноглюкоронид_6,МоНоглюкоронид,дополнительные билирубины,100.00,✔️ Полное совпадение,14,0,0
447,Моноглюкоронид_7,Моноглюкорони,дополнительные билирубины,96.30,🟠 Частичное совпадение,13,0,0
448,Диглюкоронид_0,ДИглюкоронид,дополнительные билирубины,100.00,✔️ Полное совпадение,12,0,0
449,Диглюкоронид_1,Диглюкорон ид,дополнительные билирубины,96.00,🟠 Частичное совпадение,12,0,0
450,Диглюкоронид_2,Диглюкоpонид,дополнительные билирубины,100.00,✔️ Полное совпадение,11,1,0
451,Диглюкоронид_3,иглюКоронид,дополнительные билирубины,95.65,🟠 Частичное совпадение,11,0,0
452,Диглюкоронид_4,Дглюкоронид,дополнительные билирубины,95.65,🟠 Частичное совпадение,11,0,0
453,Диглюкоронид_5,Диглюkоронид,дополнительные билирубины,100.00,✔️ Полное совпадение,11,1,0
454,Диглюкоронид_7,глюкоронид,дополнительные билирубины,90.91,🟠 Частичное совпадение,10,0,0
455,Билирубин-глюкуронид_0,лирубин-глюкуронид,дополнительные билирубины,94.74,🟠 Частичное совпадение,17,0,0
456,Билирубин-глюкуронид_2,Билирубин-глюкуронд,дополнительные билирубины,97.44,🟠 Частичное совпадение,18,0,0
457,Билирубин-глюкуронид_3,Билирубин-гЛюкуронид,дополнительные билирубины,100.00,✔️ Полное совпадение,19,0,0
458,Билирубин-глюкуронид_4,илирубин-глюкуронид,дополнительные билирубины,97.44,🟠 Частичное совпадение,18,0,0
459,Билирубин-глюкуронид_5,Билирубин-глюкуронИд,дополнительные билирубины,100.00,✔️ Полное совпадение,19,0,0
460,Билирубин-глюкуронид_6,Биирубин-глюкурони,дополнительные билирубины,94.74,🟠 Частичное совпадение,17,0,0
461,Билирубин-глюкуронид_7,Билиpубин-глюкуронид,дополнительные билирубины,100.00,✔️ Полное совпадение,18,1,0
462,Общий белок_0,бщий белок,общий белок,95.24,🟠 Частичное совпадение,9,0,0
463,Общий белок_2,белок Общий,общий белок,100.00,✔️ Полное совпадение,10,0,0
464,Общий белок_3,Общий белоk,общий белок,100.00,✔️ Полное совпадение,9,1,0
465,Общий белок_4,щий бело,общий белок,84.21,🟠 Частичное совпадение,7,0,0
466,Общий белок_5,Общий Бел,общий белок,90.00,🟠 Частичное совпадение,8,0,0
467,Общий белок_6,Общий бeлок,общий белок,100.00,✔️ Полное совпадение,9,1,0
468,Общий белок_7,Общий белОк,общий белок,100.00,✔️ Полное совпадение,10,0,0
469,Total Protein_0,Tot al Protein,общий белок,96.30,🟠 Частичное совпадение,0,12,0
470,Total Protein_1,Total Prote,общий белок,91.67,🟠 Частичное совпадение,0,10,0
471,Total Protein_3,T otal Protein,общий белок,96.30,🟠 Частичное совпадение,0,12,0
472,Total Protein_4,tal Prote,общий белок,81.82,🟠 Частичное совпадение,0,8,0
473,Total Protein_5,Total Pro tei,общий белок,92.31,🟠 Частичное совпадение,0,11,0
474,Total Protein_6,TOtal Protein,общий белок,100.00,✔️ Полное совпадение,0,12,0
475,Total Protein_7,otal Protein,общий белок,96.00,🟠 Частичное совпадение,0,11,0
476,TP_1,Tp,общий белок,100.00,✔️ Полное совпадение,0,2,0
477,Альбумин_1,альбумин,альбумин,100.00,✔️ Полное совпадение,8,0,0
478,Альбумин_2,Альумин,альбумин,93.33,🟠 Частичное совпадение,7,0,0
479,Альбумин_3,АльбумиН,альбумин,100.00,✔️ Полное совпадение,8,0,0
480,Альбумин_4,АльБу мин,альбумин,94.12,🟠 Частичное совпадение,8,0,0
481,Альбумин_5,АльбумИн,альбумин,100.00,✔️ Полное совпадение,8,0,0
482,Альбумин_6,Аль бумин,альбумин,94.12,🟠 Частичное совпадение,8,0,0
483,Альбумин_7,АльбУмин,альбумин,100.00,✔️ Полное совпадение,8,0,0
484,Albumin_1,Albu min,альбумин,93.33,🟠 Частичное совпадение,0,7,0
485,Albumin_2,AlbumiN,альбумин,100.00,✔️ Полное совпадение,0,7,0
486,Albumin_3,ALbuMin,альбумин,100.00,✔️ Полное совпадение,0,7,0
487,Albumin_4,Album in,альбумин,93.33,🟠 Частичное совпадение,0,7,0
488,Albumin_5,Alb umin,альбумин,93.33,🟠 Частичное совпадение,0,7,0
489,Albumin_6,Albumn,альбумин,92.31,🟠 Частичное совпадение,0,6,0
490,Albumin_7,Al bumin,альбумин,93.33,🟠 Частичное совпадение,0,7,0
491,ALB_0,ALb,альбумин,100.00,✔️ Полное совпадение,0,3,0
492,Альфа-1-глобулины_0,альфа-1-глоблины,альфа-1-глобулины,96.97,🟠 Частичное совпадение,13,0,1
493,Альфа-1-глобулины_1,Альа-1-глобулины,альфа-1-глобулины,96.97,🟠 Частичное совпадение,13,0,1
494,Альфа-1-глобулины_2,Альфа1глобулины,альфа-2-глобулины,87.50,❌ Неверное совпадение,14,0,1
495,Альфа-1-глобулины_3,льфа-1-глобулины,альфа-1-глобулины,96.97,🟠 Частичное совпадение,13,0,1
496,Альфа-1-глобулины_4,Аьфа-1-глобулины,альфа-1-глобулины,96.97,🟠 Частичное совпадение,13,0,1
497,Альфа-1-глобулины_6,Альфа -1-глобулины,альфа-1-глобулины,97.14,🟠 Частичное совпадение,14,0,1
498,Альфа-1-глобулины_7,Аль фа-1-глобулины,альфа-1-глобулины,97.14,🟠 Частичное совпадение,14,0,1
499,Alpha-1-globulins_0,Alph a-1-globulins,альфа-1-глобулины,97.14,🟠 Частичное совпадение,0,14,1
500,Alpha-1-globulins_1,pha-1-globulins,альфа-1-глобулины,93.75,🟠 Частичное совпадение,0,12,1
501,Alpha-1-globulins_2,Alpha-1-gl obulin,альфа-1-глобулины,94.12,🟠 Частичное совпадение,0,13,1
502,Alpha-1-globulins_3,AlphA-1-globulins,альфа-1-глобулины,100.00,✔️ Полное совпадение,0,14,1
503,Alpha-1-globulins_4,Alpha-1-globulinS,альфа-1-глобулины,100.00,✔️ Полное совпадение,0,14,1
504,Alpha-1-globulins_5,lph-1-globulins,альфа-1-глобулины,93.75,🟠 Частичное совпадение,0,12,1
505,Alpha-1-globulins_6,Alpha-1-globuli ns,альфа-1-глобулины,97.14,🟠 Частичное совпадение,0,14,1
506,Альфа-2-глобулины_0,АЛьфа-2-глобулины,альфа-2-глобулины,100.00,✔️ Полное совпадение,14,0,1
507,Альфа-2-глобулины_1,Альфа-2-глобулин,альфа-2-глобулины,96.97,🟠 Частичное совпадение,13,0,1
508,Альфа-2-глобулины_2,Альф а-2-глобулины,альфа-2-глобулины,97.14,🟠 Частичное совпадение,14,0,1
509,Альфа-2-глобулины_3,Альфа -2-глобулины,альфа-2-глобулины,97.14,🟠 Частичное совпадение,14,0,1
510,Альфа-2-глобулины_5,Альфа-2-глобуЛины,альфа-2-глобулины,100.00,✔️ Полное совпадение,14,0,1
511,Альфа-2-глобулины_6,Альфа-2-глбулины,альфа-2-глобулины,96.97,🟠 Частичное совпадение,13,0,1
512,Альфа-2-глобулины_7,Альфа-2-глоблины,альфа-2-глобулины,96.97,🟠 Частичное совпадение,13,0,1
513,Alpha-2-globulins_0,Alpha-2-lob ulins,альфа-2-глобулины,94.12,🟠 Частичное совпадение,0,13,1
514,Alpha-2-globulins_1,Alpha2globulins,альфа-2-глобулины,87.50,🟠 Частичное совпадение,0,14,1
515,Alpha-2-globulins_2,Alpha-2-gloulins,альфа-2-глобулины,96.97,🟠 Частичное совпадение,0,13,1
516,Alpha-2-globulins_3,Alpha- 2-globulins,альфа-2-глобулины,97.14,🟠 Частичное совпадение,0,14,1
517,Alpha-2-globulins_4,Alpha-2-globulin,альфа-2-глобулины,96.97,🟠 Частичное совпадение,0,13,1
518,Alpha-2-globulins_6,pha-2-globulins,альфа-2-глобулины,93.75,🟠 Частичное совпадение,0,12,1
519,Alpha-2-globulins_7,Alpha2g lobulins,альфа-2-глобулины,84.85,🟠 Частичное совпадение,0,14,1
520,Бета-глобулины_0,Бета-гло булины,бета-глобулины,96.55,🟠 Частичное совпадение,13,0,0
521,Бета-глобулины_1,Бета-глобуЛины,бета-глобулины,100.00,✔️ Полное совпадение,13,0,0
522,Бета-глобулины_2,Бета-глобу лины,бета-глобулины,96.55,🟠 Частичное совпадение,13,0,0
523,Бета-глобулины_3,ета-глобулины,бета-глобулины,96.30,🟠 Частичное совпадение,12,0,0
524,Бета-глобулины_4,Бета-глобулиНы,бета-глобулины,100.00,✔️ Полное совпадение,13,0,0
525,Бета-глобулины_5,Бет а-глобулины,бета-глобулины,96.55,🟠 Частичное совпадение,13,0,0
526,Бета-глобулины_6,Бета-глобуины,бета-глобулины,96.30,🟠 Частичное совпадение,12,0,0
527,Beta-globulins_0,ta-globulins,бета-глобулины,92.31,🟠 Частичное совпадение,0,11,0
528,Beta-globulins_1,Bet a-globulins,бета-глобулины,96.55,🟠 Частичное совпадение,0,13,0
529,Beta-globulins_2,B eta-globulins,бета-глобулины,96.55,🟠 Частичное совпадение,0,13,0
530,Beta-globulins_3,BeTa-globulins,бета-глобулины,100.00,✔️ Полное совпадение,0,13,0
531,Beta-globulins_4,Beta-globuli nS,бета-глобулины,96.55,🟠 Частичное совпадение,0,13,0
532,Beta-globulins_5,BetaglobulIns,бета-глобулины,96.30,🟠 Частичное совпадение,0,13,0
533,Beta-globulins_6,Beta-gLоbulins,бета-глобулины,100.00,✔️ Полное совпадение,1,12,0
